,obj_id,frame_0,frame_-1,A,B,M,C,pred_diff,pred_err,pred_err_s,pred_err_lbs
162,453.0,2674.0,3133.0,219.76941762709458,21.09342533501301,3.1329999999999925,-24.261521705471736,109.87099519295717,172.7584831948089,180.4444880271767,22.17460603418685
163,454.0,2678.0,3012.0,133.7862589377286,37.69430515282053,3.0119999999999996,-25.504284802070842,66.89267376067299,137.49802959214708,138.56834979776488,17.27880378054412
164,463.0,2710.0,2818.0,114.10740135953364,92.26242909981636,2.7682485061203463,-17.934585079062302,112.43431675812631,327.4864585533475,472.2705834368826,22.79099784615262
165,468.0,2746.0,3255.0,81.54803523330256,61.5335753631722,3.1535482258188905,-25.194727206741216,81.38976333950065,187.24621071543555,186.02850892490457,21.626548313187755
166,469.0,2754.0,3257.0,37.180694630910594,69.49563718003333,3.234551767924471,-26.557378229967878,30.724680791943157,172.47970014034692,164.38891358031597,12.528068618462441
167,470.0,2754.0,3104.0,54.9756092491469,13.432230219907646,3.1039999999997923,-31.401000651332993,26.992921466036766,159.4323837946456,146.3062597661077,18.407300525634035
168,472.0,2774.0,2962.0,97.18365304460356,51.9761716693339,2.9619999999999997,-25.43169828990904,48.58628216631008,136.15774985604466,131.9198338071732,7.8754448819071445
169,474.0,2794.0,3088.0,58.62583770907785,5.162982503336206,3.087999999983049,-37.13163636171163,18.77384125004358,81.16783273342578,65.20251285807753,11.045388309033925
170,475.0,2774.0,3088.0,26.80410796453509,30.129679716965185,2.9776990738690152,-36.856429098334154,25.814090284355622,209.7104282190962,191.40615873033553,2.9768053882938355
171,476.0,2781.0,3040.0,64.79450966714747,58.54958120412293,3.0399999999999983,-30.81648316314816,32.397238016586186,148.28901470698005,101.96003824994698,3.065584293873931
172,484.0,2870.0,3012.0,71.91538979490167,24.474666411295495,3.0119999999999956,-21.408660103347543,33.79877605704895,29.50559937892909,23.00789111218899,3.114633625460741
173,492.0,2843.0,3113.0,1084.5151939870314,0.14502975097007884,3.1129999999999995,-539.4925023369151,10.615513966018625,137.0015258548,62.26810483618579,391.44108012613225
174,521.0,2966.0,3255.0,14.388348601556205,31.579026066582472,3.204142253070322,-24.464895253964688,11.975694883115187,100.99422695052425,77.21900168066843,1.2116644309077642
